English name,Original Language,Original name,Author,Year,Translation_year_English
Hitchhiker's Guide to the Galaxy,English,Hitchhiker's Guide to the Galaxy,Douglas Adams,1987,
Animal Farm,English,Animal Farm,George Orwell,1945,
Harry Potter and the Philospher's Stone,English,Harry Potter and the Philospher's Stone,J. K. Rowling,1997,
The Hobbit,English,The Hobbit,J. R. R. Tolkien,1937,
The Great Gatsby,English,The Great Gatsby,F. Scott Fitzgeral,1925,
The Clown,German,Ansichten eines Clowns,Heinrich B√∂ll,1963,1963
Perfume,German,Parfum,Patrick S√ºskind,1985,1987
The Magic Mountain,German,Der Zauberberg,Thomas Mann,1924,1927
The Tin Drum,German,Die Blechtrommel,Gunter Grass,1959,1961
The Glass Bead Game,German,Das Glasperlenspiele,Hermann Hesse,1943,1949
The Stranger,French,L'Etranger,Albert Camus,1942,1946
The Reunion,French,Jeune Fille et la Nuit,Guillaume Musso,2018,2020
"Arsene Lupin, Gentleman Burglar",French,"Arsene Lupin, Gentleman-cambrioleur",Maurice Leblanc,1907,1907
In Search of Lost Time,French,À la recherche du temps perdu,Marcel Proust,1927,1981
The Phantom of the Opera,French,Le Fantôme de l'Opéra,Gaston Leroux,1910,1911
Love and Garbage,Czech,Láska a smetí,Ivan Klima,1986,1986
The Good Soldier Svejk,Czech,Osudy dobrého vojáka Švejka za světové války,Jaroslav Hašek,1921,1930
The Unbearable Lightness of Being,Czech,Nesnesitelná lehkost bytí,Milan Kundera,1984,1984
The Power of the Powerless,Czech,Moc bezmocných,Vaclav Havel,1978,1985
War with the Newts,Czech,Válka s Mloky,Karel Capek,1936,1937
